timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864605.213,0.000,1.000,1.000,0.000
1774864605.224,0.000,1.000,1.000,0.000
1774864605.234,0.000,1.000,1.000,0.000
1774864605.244,0.000,1.000,1.000,0.000
1774864605.254,0.000,1.000,1.000,0.000
1774864605.265,0.000,1.000,1.000,0.000
1774864605.275,0.000,1.000,1.000,0.000
1774864605.285,0.029,0.971,1.000,0.000
1774864605.295,0.000,1.000,1.000,0.000
1774864605.306,1.000,0.000,1.000,0.000
1774864605.316,1.000,0.000,1.000,0.000
1774864605.326,1.000,0.000,1.000,0.000
1774864605.336,1.000,0.000,1.000,0.000
1774864605.346,1.000,0.000,1.000,0.000
1774864605.357,0.854,0.146,1.000,0.000
1774864605.367,0.732,0.268,1.000,0.000
1774864605.377,1.000,0.000,1.000,0.000
1774864605.387,1.000,0.000,0.802,0.198
1774864605.398,1.000,0.000,1.000,0.000
1774864605.408,1.000,0.000,1.000,0.000
1774864605.418,1.000,0.000,1.000,0.000
1774864605.428,0.000,1.000,1.000,0.000
1774864605.439,0.000,1.000,1.000,0.000
1774864605.449,0.000,1.000,1.000,0.000
1774864605.459,0.000,1.000,1.000,0.000
1774864605.469,0.000,1.000,1.000,0.000
1774864605.480,0.000,1.000,1.000,0.000
1774864605.490,0.000,1.000,1.000,0.000
1774864605.500,0.000,1.000,0.835,0.165
1774864605.510,0.000,1.000,1.000,0.000
1774864605.521,0.000,1.000,1.000,0.000
1774864605.531,0.000,1.000,0.643,0.357
1774864605.541,0.000,1.000,1.000,0.000
1774864605.551,0.000,1.000,1.000,0.000
1774864605.562,0.000,1.000,0.696,0.304
1774864605.572,0.569,0.431,1.000,0.000
1774864605.582,0.602,0.398,1.000,0.000
1774864605.592,1.000,0.000,0.866,0.134
1774864605.603,1.000,0.000,1.000,0.000
1774864605.613,1.000,0.000,1.000,0.000
1774864605.623,1.000,0.000,0.992,0.008
1774864605.633,1.000,0.000,1.000,0.000
1774864605.644,1.000,0.000,1.000,0.000
1774864605.654,1.000,0.000,1.000,0.000
1774864605.664,1.000,0.000,1.000,0.000
1774864605.674,1.000,0.000,1.000,0.000
1774864605.685,1.000,0.000,0.872,0.128
1774864605.695,1.000,0.000,1.000,0.000
1774864605.705,1.000,0.000,1.000,0.000
1774864605.715,1.000,0.000,1.000,0.000
1774864605.726,1.000,0.000,1.000,0.000
1774864605.736,1.000,0.000,0.677,0.323
1774864605.746,1.000,0.000,1.000,0.000
1774864605.756,1.000,0.000,0.853,0.147
1774864605.766,0.000,1.000,1.000,0.000
1774864605.777,0.000,1.000,1.000,0.000
1774864605.787,0.000,1.000,1.000,0.000
1774864605.797,0.000,1.000,1.000,0.000
1774864605.807,0.107,0.893,1.000,0.000
1774864605.818,0.000,1.000,1.000,0.000
1774864605.828,0.000,1.000,1.000,0.000
1774864605.838,1.000,0.000,1.000,0.000
1774864605.848,1.000,0.000,1.000,0.000
1774864605.859,0.990,0.010,1.000,0.000
1774864605.869,1.000,0.000,1.000,0.000
1774864605.879,0.704,0.296,1.000,0.000
1774864605.889,1.000,0.000,1.000,0.000
1774864605.900,1.000,0.000,1.000,0.000
1774864605.910,1.000,0.000,1.000,0.000
1774864605.920,1.000,0.000,1.000,0.000
1774864605.930,1.000,0.000,0.929,0.071
1774864605.941,1.000,0.000,1.000,0.000
1774864605.951,0.892,0.108,1.000,0.000
1774864605.961,1.000,0.000,1.000,0.000
1774864605.971,1.000,0.000,0.926,0.074
1774864605.982,0.822,0.178,1.000,0.000
1774864605.992,1.000,0.000,1.000,0.000
1774864606.002,1.000,0.000,1.000,0.000
1774864606.012,1.000,0.000,1.000,0.000
1774864606.022,1.000,0.000,1.000,0.000
1774864606.033,1.000,0.000,1.000,0.000
1774864606.043,0.927,0.073,1.000,0.000
1774864606.053,1.000,0.000,1.000,0.000
1774864606.063,1.000,0.000,1.000,0.000
1774864606.074,0.000,1.000,1.000,0.000
1774864606.084,0.000,1.000,1.000,0.000
1774864606.094,0.000,1.000,1.000,0.000
1774864606.104,1.000,0.000,1.000,0.000
1774864606.114,1.000,0.000,1.000,0.000
1774864606.125,1.000,0.000,1.000,0.000
1774864606.135,0.932,0.068,1.000,0.000
1774864606.145,1.000,0.000,1.000,0.000
1774864606.155,1.000,0.000,1.000,0.000
1774864606.166,1.000,0.000,1.000,0.000
1774864606.176,1.000,0.000,1.000,0.000
1774864606.186,1.000,0.000,0.654,0.346
1774864606.196,1.000,0.000,0.946,0.054
1774864606.207,1.000,0.000,1.000,0.000
1774864606.217,1.000,0.000,1.000,0.000
1774864606.227,1.000,0.000,1.000,0.000
1774864606.237,1.000,0.000,1.000,0.000
1774864606.248,1.000,0.000,1.000,0.000
1774864606.258,0.000,1.000,1.000,0.000
1774864606.268,0.000,1.000,1.000,0.000
1774864606.278,0.000,1.000,1.000,0.000
1774864606.288,0.000,1.000,1.000,0.000
1774864606.299,0.000,1.000,1.000,0.000
1774864606.309,0.000,1.000,0.616,0.384
1774864606.319,0.000,1.000,0.546,0.454
1774864606.329,0.000,1.000,1.000,0.000
1774864606.340,0.000,1.000,1.000,0.000
1774864606.350,0.000,1.000,1.000,0.000
1774864606.360,0.000,1.000,1.000,0.000
1774864606.370,1.000,0.000,1.000,0.000
1774864606.381,1.000,0.000,1.000,0.000
1774864606.391,1.000,0.000,0.945,0.055
1774864606.401,1.000,0.000,1.000,0.000
